SCS,VN000000SCS4,BBG00H5KYJR4,"169,00","147,00","158,00","159,80","156,50","-1,50","-0,95","156,40","160,00","158,40","202,00","3.199,63"
SFC,VN000000SFC1,BBG000PQF917,"25,50","22,20","23,85","23,85","23,85","0,00","0,00","23,85","23,85","23,85","6,00","14,31"
SFG,VN000000SFG2,BBG007KCPRX2,"21,40","18,60","20,00","20,50","19,20","-0,80","-4,00","18,60","20,50","18,98","522,00","990,60"
SFI,VN000000SFI8,BBG000QN56H3,"77,50","67,50","72,50","72,00","72,40","-0,10","-0,14","72,00","72,40","72,37","86,00","622,40"
SGN,VN000000SGN6,BBG00BL5GNC9,"83,40","72,60","78,00","77,50","77,60","-0,40","-0,51","77,50","77,90","77,67","3,00","23,30"
SGR,VN000000SGR7,BBG008MWKWZ6,"30,85","26,85","28,85","28,90","29,80","0,95","3,29","28,85","30,10","29,70","1.122,00","3.331,98"
SGT,VN000000SGT3,BBG000V38SM4,"32,25","28,05","30,15","30,00","30,35","0,20","0,66","30,00","30,70","30,34","1.392,00","4.223,29"
SHA,VN000000SHA1,BBG003TTCWX8,"8,88","7,72","8,30","8,35","8,30","0,00","0,00","8,23","8,40","8,29","1.811,00","1.501,14"
SHB,VN000000SHB9,BBG000G88YK9,"23,25","20,25","21,75","21,70","22,10","0,35","1,61","21,70","22,10","21,87","112.224,00","245.473,68"
SHI,VN000000SHI4,BBG000Q3SY27,"19,75","17,25","18,50","18,75","18,55","0,05","0,27","18,50","19,20","18,89","15.235,00","28.785,08"
SHP,VN000000SHP9,BBG0015Y8H38,"28,65","24,95","26,80","26,70","26,70","-0,10","-0,37","26,50","26,70","26,68","26,00","69,36"
SII,VN000000SII2,BBG003BBYCH4,"16,90","14,70","15,80","16,25","15,80","0,00","0,00","14,70","16,25","15,71","57,00","89,53"
SJD,VN000000SJD1,BBG000QMWZB7,"21,05","18,35","21,00","20,10","19,60","-1,40","-6,67","19,40","20,10","19,61","1.725,00","3.382,15"
